Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Scaffolding Relational Schemas and APIs from Content in Web Mockups","Conceptual Modeling","","","","10.1007/978-3-319-69904-2_12","Alfonso MuroloSybil EhrensbergerZera AsaniMoira C. Norrie","2017","http://link.springer.com/chapter/10.1007/978-3-319-69904-2_12","Chapter"
"User Centric Service Level Management in mOSAIC Applications","Euro-Par 2011: Parallel Processing Workshops","","","","10.1007/978-3-642-29740-3_13","Massimiliano RakRocco AversaSalvatore VenticinqueBeniamino Di Martino","2012","http://link.springer.com/chapter/10.1007/978-3-642-29740-3_13","Chapter"
"Today’s Top “RESTful” Services and Why They Are Not RESTful","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_26","Dominik RenzelPatrick SchlebuschRalf Klamma","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_26","Chapter"
"Generating Synchronization Engines between Running Systems and Their Model-Based Views","Models in Software Engineering","","","","10.1007/978-3-642-12261-3_14","Hui SongYingfei XiongFranck ChauvelGang HuangZhenjiang HuHong Mei","2010","http://link.springer.com/chapter/10.1007/978-3-642-12261-3_14","Chapter"
"On the Future of Solution Composition in Software Ecosystems","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-61920-0_1","Zherui YangSlinger JansenXuesong GaoDong Zhang","2017","http://link.springer.com/chapter/10.1007/978-3-319-61920-0_1","Chapter"
"PIL: A Platform Independent Language for Retargetable DSLs","Software Language Engineering","","","","10.1007/978-3-642-12107-4_17","Zef HemelEelco Visser","2010","http://link.springer.com/chapter/10.1007/978-3-642-12107-4_17","Chapter"
"Formal Verification of Service Level Agreements Through Distributed Monitoring","Service Oriented and Cloud Computing","","","","10.1007/978-3-319-24072-5_9","Behrooz NobakhtStijn de GouwFrank S. de Boer","2015","http://link.springer.com/chapter/10.1007/978-3-319-24072-5_9","Chapter"
"Interoperability on e-Learning 2.0: The PEACE Case Study","ENTERprise Information Systems","","","","10.1007/978-3-642-24355-4_28","Ricardo QueirósLino OliveiraCândida SilvaMário Pinto","2011","http://link.springer.com/chapter/10.1007/978-3-642-24355-4_28","Chapter"
"Property-Based Testing - The ProTest Project","Formal Methods for Components and Objects","","","","10.1007/978-3-642-17071-3_13","John DerrickNeil WalkinshawThomas ArtsClara Benac EarleFrancesco CesariniLars-Ake FredlundVictor GuliasJohn HughesSimon Thompson","2010","http://link.springer.com/chapter/10.1007/978-3-642-17071-3_13","Chapter"
"A Native Versioning Concept to Support Historized Models at Runtime","Model-Driven Engineering Languages and Systems","","","","10.1007/978-3-319-11653-2_16","Thomas HartmannFrancois FouquetGregory NainBrice MorinJacques KleinOlivier BaraisYves Le Traon","2014","http://link.springer.com/chapter/10.1007/978-3-319-11653-2_16","Chapter"
"MDE to Manage Communications with and between Resource-Constrained Systems","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_25","Franck FleureyBrice MorinArnor SolbergOlivier Barais","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_25","Chapter"
"Refinement-Preserving Co-evolution","Formal Methods and Software Engineering","","","","10.1007/978-3-642-10373-5_32","Thomas RuhrothHeike Wehrheim","2009","http://link.springer.com/chapter/10.1007/978-3-642-10373-5_32","Chapter"
"Automating the Evolution of Data Models for Space Missions. A Model-Based Approach","Model and Data Engineering","","","","10.1007/978-3-319-66854-3_26","Lynda Ait OubelliYamine Ait AmeurJudicaël BedouetBenoit Chausserie-LapreeBeatrice Larzul","2017","http://link.springer.com/chapter/10.1007/978-3-319-66854-3_26","Chapter"
"Dynamic Evolution of Context-Aware Systems with Models at Runtime","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-33666-9_6","Germán H. AlférezVicente Pelechano","2012","http://link.springer.com/chapter/10.1007/978-3-642-33666-9_6","Chapter"
"Analysis of Simulink Models Using Databases and Model Transformations","Model-Based Methodologies for Pervasive and Embedded Software","","","","10.1007/978-3-642-38209-3_5","Daniel MerschenRobert GleisJulian PottStefan Kowalewski","2013","http://link.springer.com/chapter/10.1007/978-3-642-38209-3_5","Chapter"
"From Static Methods to Role-Driven Service Invocation – A Metamodel for Active Content in Object Databases","Conceptual Modeling - ER 2009","","","","10.1007/978-3-642-04840-1_33","Stefania LeoneMoira C. NorrieBeat SignerAlexandre de Spindler","2009","http://link.springer.com/chapter/10.1007/978-3-642-04840-1_33","Chapter"
"Static Analysis of Dynamic Database Usage in Java Systems","Advanced Information Systems Engineering","","","","10.1007/978-3-319-39696-5_30","Loup MeuriceCsaba NagyAnthony Cleve","2016","http://link.springer.com/chapter/10.1007/978-3-319-39696-5_30","Chapter"
"ClickOnMap: A Framework to Develop Volunteered Geographic Information Systems with Dynamic Metadata","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09129-7_39","Wagner Dias de SouzaJugurta Lisboa-FilhoJean Henrique de Sousa CâmaraJarbas Nunes Vidal FilhoAlcione de Paiva Oliveira","2014","http://link.springer.com/chapter/10.1007/978-3-319-09129-7_39","Chapter"
"Revisiting Service-Oriented Architecture for the IoT: A Middleware Perspective","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_1","Valérie IssarnyGeorgios BouloukakisNikolaos GeorgantasBenjamin Billet","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_1","Chapter"
"Towards Enabling Next Generation Mobile Mashups","Mobile and Ubiquitous Systems: Computing, Networking, and Services","","","","10.1007/978-3-642-29154-8_2","Vikas AgarwalSunil GoyalSumit MittalSougata MukherjeaJohn PonzoFenil Shah","2012","http://link.springer.com/chapter/10.1007/978-3-642-29154-8_2","Chapter"
"A Path to Evolve to Federation of TestBeds","Testbeds and Research Infrastructure. Development of Networks and Communities","","","","10.1007/978-3-642-29273-6_10","Soner Sevinc","2012","http://link.springer.com/chapter/10.1007/978-3-642-29273-6_10","Chapter"
"Model Transformation by Example Driven ATL Transformation Rules Development Using Model Differences","Software Technologies","","","","10.1007/978-3-319-25579-8_7","Joseba A. AgirreGoiuria SagarduiLeire Etxeberria","2015","http://link.springer.com/chapter/10.1007/978-3-319-25579-8_7","Chapter"
"Domain Specific Languages for Managing Feature Models: Advances and Challenges","Leveraging Applications of Formal Methods, Verification and Validation. Technologies for Mastering Change","","","","10.1007/978-3-662-45234-9_20","Philippe Collet","2014","http://link.springer.com/chapter/10.1007/978-3-662-45234-9_20","Chapter"
"Semantic Building Information Model and Multimedia for Facility Management","Web Information Systems and Technologies","","","","10.1007/978-3-642-22810-0_2","Christophe NicolleChristophe Cruz","2011","http://link.springer.com/chapter/10.1007/978-3-642-22810-0_2","Chapter"
"Designing Secure Systems Based on Open Architectures with Open Source and Closed Source Components","Open Source Systems: Long-Term Sustainability","","","","10.1007/978-3-642-33442-9_10","Walt ScacchiThomas A. Alspaugh","2012","http://link.springer.com/chapter/10.1007/978-3-642-33442-9_10","Chapter"
"VBPMN: Automated Verification of BPMN Processes (Tool Paper)","Integrated Formal Methods","","","","10.1007/978-3-319-66845-1_21","Ajay KrishnaPascal PoizatGwen Salaün","2017","http://link.springer.com/chapter/10.1007/978-3-319-66845-1_21","Chapter"
"Combining Monitoring and Autonomous Feedback Requests to Elicit Actionable Knowledge of System Use","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-030-15538-4_16","Dustin WüestFarnaz FotrousiSamuel Fricker","2019","http://link.springer.com/chapter/10.1007/978-3-030-15538-4_16","Chapter"
"TopHat: Supporting Experiments through Measurement Infrastructure Federation","Testbeds and Research Infrastructures. Development of Networks and Communities","","","","10.1007/978-3-642-17851-1_41","Thomas BourgeauJordan AugéTimur Friedman","2011","http://link.springer.com/chapter/10.1007/978-3-642-17851-1_41","Chapter"
"Business Models for Interoperable IoT Ecosystems","Interoperability and Open-Source Solutions for the Internet of Things","","","","10.1007/978-3-319-56877-5_6","Werner SchladofskyJelena MiticAlfred Paul MegnerClaudia SimonatoLuca GioppoDimitris LeonardosArne Bröring","2017","http://link.springer.com/chapter/10.1007/978-3-319-56877-5_6","Chapter"
"Detecting Missing Method Calls in Object-Oriented Software","ECOOP 2010 – Object-Oriented Programming","","","","10.1007/978-3-642-14107-2_2","Martin MonperrusMarcel BruchMira Mezini","2010","http://link.springer.com/chapter/10.1007/978-3-642-14107-2_2","Chapter"
"JavaScript as an Embedded DSL","ECOOP 2012 – Object-Oriented Programming","","","","10.1007/978-3-642-31057-7_19","Grzegorz KossakowskiNada AminTiark RompfMartin Odersky","2012","http://link.springer.com/chapter/10.1007/978-3-642-31057-7_19","Chapter"
"Scalable SaaS-Based Process Customization with CaseWalls","Service-Oriented Computing","","","","10.1007/978-3-662-48616-0_14","Yu-Jen John SunMoshe Chai BarukhBoualem BenatallahSeyed-Mehdi-Reza Beheshti","2015","http://link.springer.com/chapter/10.1007/978-3-662-48616-0_14","Chapter"
"Establishing Linux Driver Verification Process","Perspectives of Systems Informatics","","","","10.1007/978-3-642-11486-1_14","Alexey KhoroshilovVadim MutilinAlexander PetrenkoVladimir Zakharov","2010","http://link.springer.com/chapter/10.1007/978-3-642-11486-1_14","Chapter"
"A Comparison Framework and Review of Service Brokerage Solutions for Cloud Architectures","Service-Oriented Computing – ICSOC 2013 Workshops","","","","10.1007/978-3-319-06859-6_13","Frank FowleyClaus PahlLi Zhang","2014","http://link.springer.com/chapter/10.1007/978-3-319-06859-6_13","Chapter"
"A Development Framework Enabling the Design of Service-Based Cloud Applications","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-14886-1_14","Fotis GonidisIraklis ParaskakisAnthony J. H. Simons","2015","http://link.springer.com/chapter/10.1007/978-3-319-14886-1_14","Chapter"
"A Taxonomy of Task-Based Technologies for High-Performance Computing","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-319-78054-2_25","Peter ThomanKhalid HasanovKiril DichevRoman IakymchukXavier AguilarPhilipp GschwandtnerPierre LemarinierStefano MarkidisHerbert JordanErwin LaureKostas KatrinisDimitrios S. NikolopoulosThomas Fahringer","2018","http://link.springer.com/chapter/10.1007/978-3-319-78054-2_25","Chapter"
"An in-Browser Microblog Ranking Engine","Advances in Conceptual Modeling","","","","10.1007/978-3-642-33999-8_10","Stéphane FrénotStéphane Grumbach","2012","http://link.springer.com/chapter/10.1007/978-3-642-33999-8_10","Chapter"
"Analyzing the Evolution of Linked Vocabularies","Web Engineering","","","","10.1007/978-3-030-19274-7_29","Mohammad Abdel-QaderIacopo VaglianoAnsgar Scherp","2019","http://link.springer.com/chapter/10.1007/978-3-030-19274-7_29","Chapter"
"Temporally Enhanced Ontologies in OWL: A Shared Conceptual Model and Reference Implementation","Web Information Systems Engineering – WISE 2015","","","","10.1007/978-3-319-26190-4_3","Sven de RidderFlavius Frasincar","2015","http://link.springer.com/chapter/10.1007/978-3-319-26190-4_3","Chapter"
"Shaping Future Service Environments with the Cloud and Internet of Things: Networking Challenges and Service Evolution","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-642-16558-0_34","Gyu Myoung LeeNoel Crespi","2010","http://link.springer.com/chapter/10.1007/978-3-642-16558-0_34","Chapter"
"Topic-Aware Visual Citation Tracing via Enhanced Term Weighting for Efficient Literature Retrieval","Data Management Technologies and Applications","","","","10.1007/978-3-319-62911-7_5","Youbing ZhaoHui WeiShaopeng WuFarzad ParvinzamirZhikun DengXia ZhaoNikolaos ErsotelosFeng DongGordon ClapworthyEnjie Liu","2017","http://link.springer.com/chapter/10.1007/978-3-319-62911-7_5","Chapter"
"ProtTest-HPC: Fast Selection of Best-Fit Models of Protein Evolution","Euro-Par 2010 Parallel Processing Workshops","","","","10.1007/978-3-642-21878-1_22","Diego DarribaGuillermo L. TaboadaRamón DoalloDavid Posada","2011","http://link.springer.com/chapter/10.1007/978-3-642-21878-1_22","Chapter"
"Constructing Elastic Scientific Applications Using Elasticity Primitives","Computational Science and Its Applications – ICCSA 2013","","","","10.1007/978-3-642-39640-3_21","Guilherme GalanteLuis Carlos Erpen Bona","2013","http://link.springer.com/chapter/10.1007/978-3-642-39640-3_21","Chapter"
"Tracking the Evolution of OGD Portals: A Maturity Model","Electronic Government","","","","10.1007/978-3-319-64677-0_24","Charalampos AlexopoulosVasiliki DiamantopoulouYannis Charalabidis","2017","http://link.springer.com/chapter/10.1007/978-3-319-64677-0_24","Chapter"
"An Architecture and Reference Implementation of an Open Health Information Mediator: Enabling Interoperability in the Rwandan Health Information Exchange","Foundations of Health Information Engineering and Systems","","","","10.1007/978-3-642-39088-3_6","Ryan CrichtonDeshendran MoodleyAnban PillayRichard GakubaChristopher J. Seebregts","2013","http://link.springer.com/chapter/10.1007/978-3-642-39088-3_6","Chapter"
"Supervising the Evolution of Web Service Orchestrations Using Quality Requirements","Software Architecture","","","","10.1007/978-3-642-23798-0_1","Chouki TibermacineTarek Zernadji","2011","http://link.springer.com/chapter/10.1007/978-3-642-23798-0_1","Chapter"
"Semantic Invalidation of Annotations Due to Ontology Evolution","On the Move to Meaningful Internet Systems: OTM 2011","","","","10.1007/978-3-642-25106-1_25","Julius KöpkeJohann Eder","2011","http://link.springer.com/chapter/10.1007/978-3-642-25106-1_25","Chapter"
"Service Layer for IDE Integration of C/C++ Preprocessor Related Analysis","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09156-3_29","Richárd DévaiLászló VidácsRudolf FerencTibor Gyimóthy","2014","http://link.springer.com/chapter/10.1007/978-3-319-09156-3_29","Chapter"
"Ginga-J - An Open Java-Based Application Environment for Interactive Digital Television Services","Open Source Systems: Grounding Research","","","","10.1007/978-3-642-24418-6_3","Raoni KuleszaJefferson F. A. LimaÁlan L. GuedesLucenildo L. A. JuniorSilvio R. L. MeiraGuido L. S. Filho","2011","http://link.springer.com/chapter/10.1007/978-3-642-24418-6_3","Chapter"
"Analysing the Quality Evolution of Open Source Software Projects","Software Quality. Complexity and Challenges of Software Engineering in Emerging Technologies","","","","10.1007/978-3-319-49421-0_9","Lerina AversanoDaniela GuardabascioMaria Tortorella","2017","http://link.springer.com/chapter/10.1007/978-3-319-49421-0_9","Chapter"
"Design Evolution of an Open Source Project Using an Improved Modularity Metric","Open Source Ecosystems: Diverse Communities Interacting","","","","10.1007/978-3-642-02032-2_4","Roberto MilevSteven MueggeMichael Weiss","2009","http://link.springer.com/chapter/10.1007/978-3-642-02032-2_4","Chapter"
"The Evolution of the Argon Web Framework Through Its Use Creating Cultural Heritage and Community–Based Augmented Reality Applications","Human-Computer Interaction: Users and Contexts","","","","10.1007/978-3-319-21006-3_12","Gheric SpeiginerBlair MacIntyreJay BolterHafez RouzatiAmy LambethLaura LevyLaurie BairdMaribeth GandyMatt SandersBrian DavidsonMaria EngbergRuss ClarkElizabeth Mynatt","2015","http://link.springer.com/chapter/10.1007/978-3-319-21006-3_12","Chapter"
